설치장소명,설치장소상세,설치시군구명,서비스제공사명,와이파이SSID,WGS84위도,WGS84경도
아름어린이공원(어21),"이매동 134번지, 아름어린이공원(어21) (옥외1), 공원 내CCTV:분당이매2-A-3",성남시,성남시청,Public WiFi Free,37.402644,127.122941
아리움독거노인복지센터,"1층 출입문, 2층 엘리베이터, 3층 엘리베이터, 4층 엘리베이터, 5층 엘리베이터, 6층 엘리베이터, 7층 옥상출입문",성남시,성남시청,Public WiFi Free,37.433647,127.13426
정교리 버스정류장(40212),정교리 40212(정류장번호),포천시,LG,Public WiFi free,37.8149,127.1689
정교리.용화슈퍼 버스정류장(41092),정교리.용화슈퍼 41092(정류장번호),포천시,LG,Public WiFi free,37.81453,127.1837
정교주유소.정교리 버스정류장(41058),정교주유소.정교리 41058(정류장번호),포천시,LG,Public WiFi free,37.81443,127.1743
좌의1리 버스정류장(41219),좌의1리 41219(정류장번호),포천시,LG,Public WiFi free,37.86409,127.2076
지현1리 버스정류장(40304),지현1리 40304(정류장번호),포천시,LG,Public WiFi free,37.91562,127.2682
지현2리.지현초교앞 버스정류장(40300),지현2리.지현초교앞 40300(정류장번호),포천시,LG,Public WiFi free,37.92799,127.2644
지현4리 버스정류장(40560),지현4리 40560(정류장번호),포천시,LG,Public WiFi free,37.91903,127.2672
직동1리.새말 버스정류장(40214),직동1리.새말 40214(정류장번호),포천시,LG,Public WiFi free,37.76367,127.1694
직동3리 버스정류장(40193),직동3리 40193(정류장번호),포천시,LG,Public WiFi free,37.77093,127.1644
직두삼거리 버스정류장(41345),직두삼거리 41345(정류장번호),포천시,LG,Public WiFi free,37.87837,127.2278
진목1리.오림포 버스정류장(41253),진목1리.오림포 41253(정류장번호),포천시,LG,Public WiFi free,37.80357,127.213
진목1리.오림포 버스정류장(41254),진목1리.오림포 41254(정류장번호),포천시,LG,Public WiFi free,37.80363,127.2132
창수면사무소 버스정류장(41139),창수면사무소 41139(정류장번호),포천시,LG,Public WiFi free,37.99132,127.1886
버스정류장 05-070,수진역.성호시장.성일중고입구,성남시,성남시청,G_PublicWiFi@SeongNam,37.462986,127.168281
버스정류장 05-071,신흥시장.수정보건소,성남시,성남시청,G_PublicWiFi@SeongNam,37.407165,127.147073
버스정류장 05-072,신흥시장.수정보건소.보훈회관,성남시,성남시청,G_PublicWiFi@SeongNam,37.390544,127.12197
버스정류장 05-074,태평제일교회,성남시,성남시청,G_PublicWiFi@SeongNam,37.390864,127.121456
버스정류장 05-075,위례119안전센터.위례포레스트부영,성남시,성남시청,G_PublicWiFi@SeongNam,37.391631,127.122883
버스정류장 07-192,샛별마을.우방아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.373,127.127467
버스정류장 07-193,삼환진덕아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.405533,127.12735
버스정류장 07-195,야탑역.종합버스터미널(전면),성남시,성남시청,G_PublicWiFi@SeongNam,37.4121,127.128967
버스정류장 07-196,송림고교.이매촌성지아파트.청구아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.393033,127.128017
버스정류장 07-197,이매역,성남시,성남시청,G_PublicWiFi@SeongNam,37.396717,127.128033
버스정류장 07-198,성남아트센터.태원고교,성남시,성남시청,G_PublicWiFi@SeongNam,37.40165,127.128133
버스정류장 07-199,돌마고교,성남시,성남시청,G_PublicWiFi@SeongNam,37.39335,127.128583
버스정류장 07-201,야탑역.종합버스터미널(전면),성남시,성남시청,G_PublicWiFi@SeongNam,37.411417,127.1285
버스정류장 07-202,성남아트센터.태원고교,성남시,성남시청,G_PublicWiFi@SeongNam,37.401467,127.128717
버스정류장 07-203,야탑역.종합버스터미널(후면),성남시,성남시청,G_PublicWiFi@SeongNam,37.4117,127.128967
버스정류장 07-204,분당동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.369967,127.1295
버스정류장 07-205,새마을연수원입구,성남시,성남시청,G_PublicWiFi@SeongNam,37.384267,127.129617
버스정류장 07-206,돌마초교.야탑역.야탑1동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.409967,127.13005
버스정류장 07-207,돌마초교.야탑역.야탑1동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.409717,127.13025
버스정류장 07-208,장미마을,성남시,성남시청,G_PublicWiFi@SeongNam,37.413717,127.130283
버스정류장 07-209,야탑중학교,성남시,성남시청,G_PublicWiFi@SeongNam,37.4168,127.130567
버스정류장 07-210,야탑동경남아너스빌,성남시,성남시청,G_PublicWiFi@SeongNam,37.40595,127.130483
버스정류장 07-211,장미마을,성남시,성남시청,G_PublicWiFi@SeongNam,37.41395,127.130533
