설치장소명,설치장소상세,설치시군구명,서비스제공사명,와이파이SSID,WGS84위도,WGS84경도
진관동 127-22,진관동 127-22 / 진관동 9991-107 옆삼거리,은평구,서울특별시 은평구청,SEOUL,37.64192,126.9398
진관동 126-28,진관동 126-28 / 진관동 9994-2 맞은편옆,은평구,서울특별시 은평구청,SEOUL,37.63983,126.94009
진관동 250,진관동 250 옆,은평구,서울특별시 은평구청,SEOUL,37.63959,126.93839
구파발역 사거리,진관동 69-36 구파발역 사거리,은평구,서울특별시 은평구청,SEOUL,37.639,126.91882
128동 앞 사거리,진관동 87-25(583) 128동 앞사거리,은평구,서울특별시 은평구청,SEOUL,37.63445,126.91912
611동 건너편,진관동 2 611동건너편(491),은평구,서울특별시 은평구청,SEOUL,37.65026,126.93223
618동 건너편,진관동 1 618동건너편(493),은평구,서울특별시 은평구청,SEOUL,37.64967,126.92919
627동 앞,진관동 5 627동 앞(494),은평구,서울특별시 은평구청,SEOUL,37.64844,126.92736
대조동 89-195,대조동 89-195,은평구,서울특별시 은평구청,SEOUL,37.61095,126.92186
한울종합수리,대조동 215-28 한울종합수리,은평구,서울특별시 은평구청,SEOUL,37.61403,126.91985
대조동 214-1,대조동 214-1,은평구,서울특별시 은평구청,SEOUL,37.61437,126.92097
대조동 203-14,대조동 203-14,은평구,서울특별시 은평구청,SEOUL,37.6152,126.92041
대조초등학교,대조동 212-22 대조초교(어린이),은평구,서울특별시 은평구청,SEOUL,37.61361,126.91891
대조동 199-3,대조동 199-3,은평구,서울특별시 은평구청,SEOUL,37.61662,126.9190407
대조동 219-32,대조동 219-32<-218-5에서 UTP,은평구,서울특별시 은평구청,SEOUL,37.61537,126.91817
대조동 190-30,대조동 190-30,은평구,서울특별시 은평구청,SEOUL,37.61296,126.92209
대조동 198-27,대조동 198-27,은평구,서울특별시 은평구청,SEOUL,37.61744,126.9196
연신내로데오거리,대조동 185-71,은평구,서울특별시 은평구청,SEOUL,37.61753,126.92142
대조동 186-46,대조동 186-46,은평구,서울특별시 은평구청,SEOUL,37.61692,126.92299
대조동 187-55,대조동 187-55,은평구,서울특별시 은평구청,SEOUL,37.6156,126.9237
대조동 190-66,대조동 190-66,은평구,서울특별시 은평구청,SEOUL,37.61441,126.92245
대조어린이공원,대조동 212 대조어린이공원,은평구,서울특별시 은평구청,SEOUL,37.61553,126.91969
갈곡리어린이공원,갈현동 436-51,은평구,서울특별시 은평구청,SEOUL,37.62381,126.91658
갈현1동 436-15,갈현1동 436-15,은평구,서울특별시 은평구청,SEOUL,37.62342,126.91692
갈현1동 402-23,갈현1동 402-23,은평구,서울특별시 은평구청,SEOUL,37.62028,126.91778
연신내로데오거리,갈현동 396-17,은평구,서울특별시 은평구청,SEOUL,37.61931,126.91991
갈현1동 414-30,갈현1동 414-30,은평구,서울특별시 은평구청,SEOUL,37.62457,126.91792
갈현1동 407-32,갈현1동 407-32,은평구,서울특별시 은평구청,SEOUL,37.62283,126.91771
박석어린이공원,갈현동 416-3(박석어린이공원),은평구,서울특별시 은평구청,SEOUL,37.62505,126.91833
체육시설,진관동 산110-17 체육시설내부2/1,은평구,서울특별시 은평구청,SEOUL,37.63033,126.91604
체육시설,진관동 산110-17 체육시설,은평구,서울특별시 은평구청,SEOUL,37.62981,126.91621
서갈현어린이공원,갈현동 434-38(서갈현어린이공원),은평구,서울특별시 은평구청,SEOUL,37.62161,126.91581
갈현2동 543,갈현2동 543,은평구,서울특별시 은평구청,SEOUL,37.62233,126.91143
갈현동 452-29,갈현동 452-29->갈현2동 453-3(UTP),은평구,서울특별시 은평구청,SEOUL,37.61939,126.91802
연신내로데오거리,갈현동 397,은평구,서울특별시 은평구청,SEOUL,37.61875,126.92056
연신내로데오거리,갈현동 456-2,은평구,서울특별시 은평구청,SEOUL,37.61799,126.91977
갈현2동 480-1,갈현2동 480-1,은평구,서울특별시 은평구청,SEOUL,37.61715,126.91698
갈현2동 461-16,갈현2동 461-16,은평구,서울특별시 은평구청,SEOUL,37.61661,126.91802
707동옆 창릉천변,진관동 30-22 (707동옆창릉천변),은평구,서울특별시 은평구청,SEOUL,37.64676,126.92526
연신내로,갈현동 503-12,은평구,서울특별시 은평구청,SEOUL,37.61906,126.91533
물빛공원,갈현동 397(UTP_물빛공원),은평구,서울특별시 은평구청,SEOUL,37.61889,126.92095
갈현2동 462-54,갈현2동 462-54,은평구,서울특별시 은평구청,SEOUL,37.61436,126.91773
갈현2동 464-19,갈현2동 464-19,은평구,서울특별시 은평구청,SEOUL,37.61264,126.91649
갈현동 468-3,갈현동 468-3,은평구,서울특별시 은평구청,SEOUL,37.61235,126.91545
길마어린이공원,갈현동 474-1(길마어린이공원),은평구,서울특별시 은평구청,SEOUL,37.61466,126.91562
궁말어린이공원,갈현동 327-21(궁말어린이공원),은평구,서울특별시 은평구청,SEOUL,37.61677,126.90897
좌월어린이공원,갈현동 513-1(좌월어린이공원),은평구,서울특별시 은평구청,SEOUL,37.61733,126.91359
갈현2동 228-73,갈현2동 228-73,은평구,서울특별시 은평구청,SEOUL,37.62007,126.91095
갈현2동 228-73 등산로,갈현2동 228-73 등산로,은평구,서울특별시 은평구청,SEOUL,37.62099,126.91115
연신내로데오거리,갈현2동 453-3 <- 갈현동 452-29에서 UTP,은평구,서울특별시 은평구청,SEOUL,37.61911,126.91846
연신내로데오거리,갈현1동 399-7,은평구,서울특별시 은평구청,SEOUL,37.61874,126.91938
구산동 202-5,구산동 202-5,은평구,서울특별시 은평구청,SEOUL,37.61365,126.91162
구산동 340-1,구산동 340-1,은평구,서울특별시 은평구청,SEOUL,37.61455,126.90874
생태다리,구산동 산130-9(생태다리1),은평구,서울특별시 은평구청,SEOUL,37.61903,126.90554
생태다리,구산동 산130-9(생태다리2),은평구,서울특별시 은평구청,SEOUL,37.61911,126.9058
